ImageNumber,ObjectNumber,FileName_DNA,PathName_DNA
1,1,GtDeer_treatment_septum_4x_29.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages
1,2,GtDeer_treatment_septum_4x_29.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages
1,3,GtDeer_treatment_septum_4x_29.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages
1,4,GtDeer_treatment_septum_4x_29.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages
2,1,GtDeer_treatment_septum_4x_37.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages
2,2,GtDeer_treatment_septum_4x_37.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages
2,3,GtDeer_treatment_septum_4x_37.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages
3,1,GtDeer_treatment_septum_4x_45.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages
3,2,GtDeer_treatment_septum_4x_45.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages
4,1,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages
4,2,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages
4,3,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages
4,4,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages
4,5,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages
4,6,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages
4,7,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages
4,8,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages
4,9,GtDeer_treatment_septum_4x_53.tif,/Users/kemart/Documents/GitHub/chRonic-time-wasting-disease/TestImages
5,1,WT_control_septum_4x_09.tif,/Users/kemart/Downloads/controls/septum_4x
6,1,WT_control_septum_4x_13.tif,/Users/kemart/Downloads/controls/septum_4x
6,2,WT_control_septum_4x_13.tif,/Users/kemart/Downloads/controls/septum_4x
6,3,WT_control_septum_4x_13.tif,/Users/kemart/Downloads/controls/septum_4x
7,1,WT_control_septum_4x_19.tif,/Users/kemart/Downloads/controls/septum_4x
7,2,WT_control_septum_4x_19.tif,/Users/kemart/Downloads/controls/septum_4x
7,3,WT_control_septum_4x_19.tif,/Users/kemart/Downloads/controls/septum_4x
8,1,WT_control_septum_4x_21.tif,/Users/kemart/Downloads/controls/septum_4x
8,2,WT_control_septum_4x_21.tif,/Users/kemart/Downloads/controls/septum_4x
